category,clue,indicator,fodder,definition,length
Anagrams,Deliver extremely popular puzzling video,puzzling,video,Deliver,7
Selectors,Even nerdy guys can be badass,even,nerdy guys,can be badass,4
Anagrams,Changes actress!?,changes,actress,changes actress,7
Hiddens,Provide a lipstick sample for model,sample,Provide a lipstick,model,5
Selectors,Sister's half brothers,half,brothers,sister's,4
Selectors,Intermittent pain in body to irritate,intermittent,pain in body,to irritate,5
Hiddens,Temporary contract in government sector,sector,contract in government,temporary,6
Selectors,Dank memes on Instagram sent to principals,Principals,memes on Instagram sent to,Dank,5
Hiddens,Cinema illegally hides message on a screen,hides,Cinema illegally,message on a screen,5
Selectors,Go thirds in pet turkey,thirds,pet turkey,go,3
Anagrams,De Niro's acting decreased with Heat,acting,De Niro,decreased with Heat,6
Anagrams,Minute Cryptic finally solved (not against the clock),cryptic,minute,not against the clock,7
Selectors,Original amigos each only halfway through paperwork,halfway,original amigos,paperwork,7
Hiddens,Inside Stephanie's revealing skirt,revealing,inside stephanie's,skirt,8
Reversals,Eye doctor orders bifocals and heads back home,Back,Eye doctor orders bifocals and,back home,5
Selectors,Eye doctor orders bifocals and heads back home,heads,Eye doctor orders bifocals and,back home,5
Hiddens,Stab piercing rogue's shield,peircing,rogue's shield,stab,5
Anagrams,Puzzle book's debut released by beaming eccentric,puzzle,beaming,puzzle,6
Reversals,Last five cappuccinos sent back in waves?,back,cappuccinos,waves,5
Hiddens,Last five cappuccinos sent back in waves?,last five,cappuccinos,waves,5
Anagrams,Love us madly? Grab 1000 books!,madly,love us,books,7
Selectors,Feel mature after clearing elm property,after clearing elm,feel mature,property,7
Hiddens,Perhaps backpacking close by Amsterdam?,backpacking,close by Amsterdam,perhaps,5
