Clue,Category,Fodder,Length,Definition
Deliver extremely popular puzzling video,anagram,video,7,Deliver
Even nerdy guys can be badass,selector,nerdy guys,4,can be badass
Changes actress!?,anagram,actress,7,changes actress
Provide a lipstick sample for model,hidden,Provide a lipstick,5,model
Provide a lipstick sample for model,selector,Provide a lipstick,5,model
Sister's half brothers,selector,brothers,4,sister's
Intermittent pain in body to irritate,selector,pain in body,5,to irritate
Temporary contract in government sector,hidden,contract in government,6,temporary
Dank memes on Instagram sent to principals,selector,memes on Instagram sent to,5,Dank
Cinema illegally hides message on a screen,hidden,Cinema illegally,5,message on a screen
Go thirds in pet turkey,selector,pet turkey,3,go
Go thirds in pet turkey,hidden,pet turkey,3,go
De Niro's acting decreased with Heat,anagram,De Niro,6,decreased with Heat
Minute Cryptic finally solved (not against the clock),anagram,minute,7,not against the clock
Original amigos each only halfway through paperwork,selector,original amigos,7,paperwork
Original amigos each only halfway through paperwork,hidden,original amigos,7,paperwork
Inside Stephanie's revealing skirt,hidden,inside stephanie's,8,skirt
Eye doctor orders bifocals and heads back home,selector,Eye doctor orders bifocals and,5,back home
Stab piercing rogue's shield,hidden,rogue's shield,5,stab
Puzzle book's debut released by beaming eccentric,anagram,beaming,6,puzzle
Last five cappuccinos sent back in waves?,hidden,cappuccinos,5,waves
Love us madly? Grab 1000 books!,anagram,love us,7,books
Feel mature after clearing elm property,selector,feel mature,7,property
Perhaps backpacking close by Amsterdam?,hidden,close by Amsterdam,5,perhaps
Play leapfrog across street drains - a fitting game?,selector,street drains,6,a fitting game
Engineer rang unknown number when blowing a fuse,anagram,rang,5,when blowing a fuse
Fishnets that could assist fishing vessel's process by seconds,selector,that could assist fishing vessel's process by,7,fishnets
Murder ingredient found in microwave?,hidden,microwave,4,murder ingredient
Murder ingredient found in microwave?,selector,microwave,4,murder ingredient
No coming back after shipwreck? That sucks,anagram,no ship,6,that sucks
Solitary Dancing Queen fan,anagram,solitary,8,queen fan
Admit spending time with really odd seaman,selector,admit time really,7,seaman
Secretly ditch essay for game with mates?,hidden,ditch essay,5,game with mates
Giant tortoise is tracked around narrow openings,selector,tortoise is tracked around narrow,5,giant
Eye rolling feels good occasionally,selector,feels good,4,eye
I love doing gymnastics with this extremely springy bunch?,anagram,i love,7,springy bunch
Cold guys heartlessly shun quirky women,anagram,women,7,cold guys
Edison half screwed a lightbulb?,anagram,edi,4,lightbulb
Nineties freestyle icon known for his energetic MC work?,anagram,nineties,8,energetic MC work
Flat crustless half-size loaf,selector,flat size,4,loaf
Business disinfected casino to conceal triple murder perhaps?,hidden,Business disinfected casino,3,murder perhaps
Business disinfected casino to conceal triple murder perhaps?,selector,Business disinfected casino,3,murder perhaps
Please... shaken not stirred,anagram,please,6,not stirred
Humans maybe evolved armpits to conserve energy,anagram,armpits,8,humans maybe
