Clue,true_category,Category Cracked?,Word Found? (told category),Correct End Answer,Number of Potential Words,Ranking (if candidate)
Go thirds in pet turkey,Selectors,No,No,No,11,0
Original amigos each only halfway through paperwork,Selectors,No,Yes,No,1,1
Murder ingredient found in microwave?,Hiddens,No,Yes,No,3,2
Admit spending time with really odd seaman,Selectors,Yes,No,No,0,0
Feel mature after clearing elm property,Selectors,Yes,No,No,0,0
Fishnets that could assist fishing vessel's process by seconds,Selectors,Yes,No,No,2,0
Deliver extremely popular puzzling video,Anagrams,Yes,No,No,0,0
Love us madly? Grab 1000 books!,Anagrams,Yes,No,No,0,0
Puzzle book's debut released by beaming eccentric,Anagrams,Yes,No,No,0,0
Changes actress!?,Anagrams,Yes,No,No,2,0
Minute Cryptic finally solved (not against the clock),Anagrams,Yes,No,No,6,0
I love doing gymnastics with this extremely springy bunch?,Anagrams,Yes,No,No,0,0
Cold guys heartlessly shun quirky women,Anagrams,Yes,No,No,0,0
Humans maybe evolved armpits to conserve energy,Anagrams,Yes,No,No,0,0
Flat crustless half-size loaf,Selectors,Yes,No,No,7,0
Cinema illegally hides message on a screen,Hiddens,Yes,Yes,No,3,2
Temporary contract in government sector,Hiddens,Yes,Yes,No,3,2
Play leapfrog across street drains - a fitting game?,Selectors,Yes,Yes,No,3,2
Eye doctor orders bifocals and heads back home,Selectors,Yes,Yes,No,3,3
Sister's half brothers,Selectors,Yes,Yes,No,6,0
Even nerdy guys can be badass,Selectors,Yes,Yes,No,6,2
Dank memes on Instagram sent to principals,Selectors,Yes,Yes,No,7,2
Eye rolling feels good occasionally,Selectors,Yes,Yes,No,7,7
Edison half screwed a lightbulb?,Anagrams,Yes,Yes,No,49,20
Provide a lipstick sample for model,Hiddens,No,Yes,Yes,3,1
Last five cappuccinos sent back in waves?,Hiddens,Yes,Yes,Yes,3,1
Perhaps backpacking close by Amsterdam?,Hiddens,Yes,Yes,Yes,3,1
Secretly ditch essay for game with mates?,Hiddens,Yes,Yes,Yes,3,1
Stab piercing rogue's shield,Hiddens,Yes,Yes,Yes,4,1
No coming back after shipwreck? That sucks,Anagrams,Yes,Yes,Yes,2,1
De Niro's acting decreased with Heat,Anagrams,Yes,Yes,Yes,4,1
Engineer rang unknown number when blowing a fuse,Anagrams,Yes,Yes,Yes,16,1
Giant tortoise is tracked around narrow openings,Selectors,Yes,Yes,Yes,9,1
Business disinfected casino to conceal triple murder perhaps?,Hiddens,Yes,Yes,Yes,38,1
Please... shaken not stirred,Anagrams,Yes,Yes,Yes,2,1
Intermittent pain in body to irritate,Selectors,Yes,Yes,Yes,1,1
Solitary Dancing Queen fan,Anagrams,Yes,Yes,Yes,1,1
Nineties freestyle icon known for his energetic MC work?,Anagrams,Yes,Yes,Yes,1,1
Inside Stephanie's revealing skirt,Hiddens,Yes,Yes,Yes,1,1
